bigram	count
('class', 'is')	4
('the', 'best')	4
('property', 'in')	4
('of', 'being')	4
('members', 'of')	4
('condition', 'of')	4
('the', 'moment')	3
('progress', 'of')	3
('the', 'relations')	3
('to', 'lose')	3
('since', 'the')	3
('the', 'only')	3
('labour', 'is')	3
('more', 'or')	3
('property', 'of')	3
('commerce', 'to')	3
('in', 'these')	3
('and', 'with')	3
('common', 'to')	3
('does', 'the')	3
('the', 'interest')	3
('it', 'compels')	3
('proletariat', 'and')	3
('ideas', 'of')	3
('do', 'you')	3
('has', 'made')	3
('labour', 'of')	3
('the', 'action')	3
('their', 'social')	3
('that', 'they')	3
('the', 'demands')	3
('the', 'practical')	3
('producing', 'and')	3
('elements', 'of')	3
('along', 'with')	3
('the', 'contrary')	3
('and', 'appropriating')	3
('at', 'least')	3
('the', 'immediate')	3
('existence', 'in')	3
('political', 'supremacy')	3
('exchange', 'and')	3
('as', 'to')	3
('the', 'economic')	3
('the', 'individual')	3
('communists', 'are')	3
('reproached', 'with')	3
('of', 'america')	3
('for', 'its')	3
('modern', 'bourgeoisie')	3
('there', 'is')	3
('so', 'many')	3
('movement', 'is')	3
('at', 'first')	3
('end', 'to')	3
('communist', 'literature')	3
('to', 'increase')	3
('it', 'becomes')	3
('new', 'social')	3
('as', 'an')	3
('organisation', 'of')	3
('the', 'one')	3
('upon', 'the')	3
('and', 'so')	3
('longer', 'be')	3
('society', 'has')	3
('beneath', 'the')	3
('eternal', 'truths')	3
('united', 'action')	3
('to', 'introduce')	3
('has', 'to')	3
('springing', 'from')	3
('carried', 'on')	3
('all', 'earlier')	3
('individual', 'bourgeois')	3
('case', 'of')	3
('up', 'the')	3
('free', 'selling')	3
('collisions', 'between')	3
('they', 'do')	3
('appeal', 'to')	3
('the', 'party')	3
('of', 'communication')	3
('to', 'its')	3
('due', 'to')	3
('the', 'nation')	3
('not', 'in')	3
('industry', 'has')	3
('they', 'therefore')	3
('overthrow', 'of')	3
('the', 'future')	3
('you', 'mean')	3
('products', 'of')	3
('of', 'each')	3
('the', 'dissolution')	3
('breaks', 'out')	3
('french', 'revolution')	3
('with', 'them')	3
('form', 'the')	3
('at', 'this')	3
('the', 'reactionary')	3
('the', 'leading')	3
('of', 'existing')	3
('intending', 'to')	3
('the', 'immense')	3
('bourgeois', 'class')	3
('expression', 'of')	3
('relations', 'that')	3
('socialism', 'and')	3
('historical', 'development')	3
('as', 'they')	3
('machinery', 'and')	3
('the', 'communist')	3
('or', 'less')	3
('these', 'conditions')	3
('of', 'france')	3
('in', 'bourgeois')	3
('a', 'means')	3
('whole', 'of')	3
('transformed', 'into')	3
('the', 'socialist')	3
('society', 'with')	3
('production', 'the')	3
('of', 'appropriation')	3
('the', 'communistic')	3
('germany', 'the')	3
('than', 'that')	3
('improvement', 'of')	3
('these', 'crises')	3
('concentrated', 'in')	3
('undeveloped', 'state')	3
('the', 'products')	3
('was', 'the')	3
('one', 'hand')	3
('the', 'place')	3
('in', 'common')	3
('the', 'political')	3
('bourgeoisie', 'but')	3
('property', 'but')	3
('that', 'their')	3
('proletarian', 'movement')	3
('existing', 'state')	3
('most', 'radical')	3
('historical', 'movement')	3
('of', 'ancient')	3
('interest', 'of')	3
('domain', 'of')	3
('the', 'contest')	3
('the', 'rest')	3
('let', 'us')	3
('so', 'far')	3
('the', 'antagonism')	3
('the', 'material')	3
('the', 'small')	3
('bourgeois', 'conditions')	3
('and', 'as')	3
('feudal', 'socialism')	3
('class', 'that')	3
('the', 'various')	3
('the', 'work')	3
('the', 'common')	3
('a', 'world')	3
('face', 'of')	3
('therefore', 'the')	3
('with', 'one')	3
('same', 'proportion')	3
('freedom', 'of')	3
('according', 'to')	3
('has', 'no')	3
('a', 'few')	3
('to', 'abolish')	3
('going', 'on')	3
('such', 'as')	3
('all', 'past')	3
('modes', 'of')	3
('communists', 'have')	3
('of', 'feudal')	3
('they', 'wrote')	3
('hence', 'they')	3
('put', 'an')	3
('with', 'is')	3
('bound', 'to')	3
('the', 'english')	3
('industrial', 'production')	3
('a', 'purely')	3
('of', 'our')	3
('conditions', 'that')	3
('one', 'nation')	3
('have', 'not')	3
('the', 'case')	3
('the', 'absolute')	3
('german', 'socialism')	3
('the', 'face')	3
('production', 'in')	3
('long', 'as')	3
('class', 'for')	3
('the', 'domain')	3
('so', 'long')	3
('the', 'progress')	3
('material', 'conditions')	3
('french', 'criticism')	3
('at', 'that')	3
('the', 'instruments')	3
('creates', 'a')	3
('class', 'of')	3
('proletariat', 'they')	3
('the', 'labour')	3
('advance', 'of')	3
('of', 'producing')	3
('of', 'private')	3
('dissolution', 'of')	3
('out', 'into')	3
('of', 'commerce')	3
('are', 'daily')	3
('no', 'other')	3
('itself', 'the')	3
('effects', 'of')	3
('that', 'was')	3
('criticism', 'of')	3
('which', 'in')	3
('the', 'real')	3
('of', 'social')	3
('the', 'very')	3
('as', 'it')	3
('instead', 'of')	3
('struggle', 'of')	3
('revolution', 'in')	3
('change', 'in')	3
('proletariat', 'is')	3
('will', 'be')	3
('and', 'commerce')	3
('the', 'necessary')	3
('immense', 'majority')	3
('becomes', 'a')	3
('and', 'bourgeois')	3
('any', 'property')	2
('the', 'force')	2
('what', 'they')	2
('all', 'political')	2
('and', 'division')	2
('come', 'to')	2
('the', 'mode')	2
('for', 'fighting')	2
('the', 'rising')	2
('as', 'their')	2
('into', 'their')	2
('they', 'wish')	2
('whole', 'the')	2
('the', 'labourers')	2
('that', 'class')	2
('society', 'by')	2
('the', 'air')	2
('which', 'is')	2
('exists', 'only')	2
('first', 'of')	2
('has', 'converted')	2
('their', 'views')	2
('are', 'of')	2
('the', 'competition')	2
('national', 'struggle')	2
('ie', 'that')	2
('the', 'continued')	2
('after', 'the')	2
('him', 'of')	2
('to', 'comprehend')	2
('two', 'great')	2
('showing', 'that')	2
('by', 'force')	2
('on', 'its')	2
('most', 'suffering')	2
('class', 'a')	2
('manifesto', 'of')	2
('antagonism', 'of')	2
('apart', 'from')	2
('the', 'people')	2
('and', 'it')	2
('movement', 'of')	2
('struggle', 'in')	2
('position', 'of')	2
('consequence', 'of')	2
('is', 'more')	2
('commercial', 'crises')	2
('other', 'workingclass')	2
('the', 'peasant')	2
('that', 'time')	2
('philosophical', 'and')	2
('to', 'historical')	2
('powers', 'of')	2
('determined', 'by')	2
('use', 'of')	2
('previous', 'mode')	2
('it', 'does')	2
('this', 'state')	2
('same', 'way')	2
('communism', 'we')	2
('movement', 'as')	2
('increase', 'the')	2
('but', 'their')	2
('and', 'oppressed')	2
('the', 'shopkeeper')	2
('is', 'its')	2
('has', 'stripped')	2
('society', 'as')	2
('and', 'most')	2
('shopkeeper', 'the')	2
('of', 'history')	2
('the', 'wage')	2
('all', 'instruments')	2
('yet', 'in')	2
('eyes', 'the')	2
('and', 'proletarians')	2
('to', 'no')	2
('it', 'and')	2
('to', 'appeal')	2
('generally', 'the')	2
('attain', 'its')	2
('step', 'in')	2
('only', 'a')	2
('and', 'conditions')	2
('a', 'critical')	2
('you', 'are')	2
('a', 'bourgeoisie')	2
('between', 'town')	2
('classes', 'that')	2
('do', 'but')	2
('be', 'effected')	2
('the', 'formation')	2
('revolutionary', 'movement')	2
('more', 'the')	2
('which', 'they')	2
('and', 'others')	2
('communism', 'all')	2
('opposition', 'to')	2
('be', 'produced')	2
('by', 'no')	2
('the', 'chartists')	2
('burghers', 'of')	2
('upper', 'hand')	2
('one', 'national')	2
('in', 'communist')	2
('public', 'and')	2
('swept', 'away')	2
('itself', 'as')	2
('the', 'standard')	2
('the', 'part')	2
('to', 'an')	2
('concentration', 'of')	2
('if', 'by')	2
('in', 'america')	2
('up', 'to')	2
('as', 'we')	2
('all', 'of')	2
('by', 'which')	2
('as', 'that')	2
('all', 'its')	2
('bourgeois', 'family')	2
('force', 'the')	2
('the', 'numerous')	2
('distribution', 'of')	2
('contest', 'with')	2
('his', 'social')	2
('means', 'to')	2
('support', 'the')	2
('compatible', 'with')	2
('the', 'fight')	2
('and', 'thus')	2
('is', 'at')	2
('more', 'advanced')	2
('the', 'pettybourgeois')	2
('against', 'modern')	2
('have', 'a')	2
('only', 'class')	2
('country', 'to')	2
('work', 'of')	2
('to', 'centralise')	2
('up', 'in')	2
('its', 'last')	2
('the', 'union')	2
('developed', 'the')	2
('social', 'science')	2
('to', 'have')	2
('point', 'of')	2
('cropping', 'up')	2
('this', 'bourgeois')	2
('revolutionary', 'class')	2
('by', 'individual')	2
('individual', 'property')	2
('literature', 'that')	2
('the', 'following')	2
('feudal', 'property')	2
('england', 'was')	2
('for', 'these')	2
('have', 'become')	2
('the', 'period')	2
('association', 'in')	2
('summed', 'up')	2
('in', 'fact')	2
('we', 'find')	2
('far', 'more')	2
('disappear', 'in')	2
('in', 'no')	2
('production', 'it')	2
('its', 'present')	2
('forget', 'that')	2
('words', 'the')	2
('and', 'consequently')	2
('introduce', 'community')	2
('establishment', 'of')	2
('is', 'only')	2
('emancipation', 'of')	2
('most', 'advanced')	2
('fighting', 'the')	2
('society', 'that')	2
('and', 'which')	2
('dependent', 'on')	2
('stages', 'of')	2
('general', 'and')	2
('ruling', 'classes')	2
('more', 'rapidly')	2
('proletarians', 'and')	2
('itself', 'to')	2
('rising', 'bourgeoisie')	2
('the', 'growing')	2
('pace', 'with')	2
('a', 'system')	2
('a', 'reactionary')	2
('continued', 'existence')	2
('into', 'existence')	2
('nations', 'of')	2
('and', 'country')	2
('is', 'changed')	2
('of', 'ideas')	2
('property', 'that')	2
('german', 'literate')	2
('opposition', 'parties')	2
('up', 'again')	2
('a', 'great')	2
('supremacy', 'of')	2
('every', 'revolutionary')	2
('time', 'that')	2
('they', 'find')	2
('be', 'swept')	2
('more', 'than')	2
('to', 'secure')	2
('economic', 'conditions')	2
('as', 'yet')	2
('is', 'already')	2
('the', 'character')	2
('all', 'countries')	2
('absence', 'of')	2
('in', 'many')	2
('because', 'their')	2
('common', 'and')	2
('political', 'sway')	2
('the', 'ancient')	2
('this', 'class')	2
('able', 'to')	2
('to', 'form')	2
('from', 'under')	2
('in', 'times')	2
('your', 'bourgeois')	2
('past', 'ages')	2
('these', 'systems')	2
('created', 'by')	2
('property', 'it')	2
('monarchy', 'the')	2
('therefore', 'not')	2
('keeps', 'even')	2
('mass', 'of')	2
('buying', 'and')	2
('force', 'of')	2
('things', 'in')	2
('opposed', 'to')	2
('took', 'its')	2
('so', 'called')	2
('the', 'landlord')	2
('of', 'individual')	2
('have', 'in')	2
('of', 'wagelabour')	2
('or', 'are')	2
('properly', 'so')	2
('each', 'time')	2
('the', 'workman')	2
('political', 'and')	2
('monarchy', 'as')	2
('the', 'intervention')	2
('with', 'intending')	2
('that', 'he')	2
('the', 'united')	2
('is', 'compelled')	2
('the', 'priest')	2
('even', 'the')	2
('the', 'machine')	2
('to', 'that')	2
('old', 'ones')	2
('ever', 'more')	2
('etc', 'the')	2
('the', 'last')	2
('at', 'last')	2
('need', 'to')	2
('bourgeois', 'freedom')	2
('rule', 'of')	2
('communists', 'in')	2
('every', 'other')	2
('because', 'it')	2
('so', 'the')	2
('century', 'and')	2
('commerce', 'and')	2
('new', 'markets')	2
('application', 'of')	2
('free', 'development')	2
('socialism', 'the')	2
('bourgeois', 'production')	2
('their', 'conditions')	2
('already', 'seen')	2
('the', 'productive')	2
('radical', 'rupture')	2
('then', 'by')	2
('increases', 'in')	2
('the', 'point')	2
('want', 'to')	2
('burst', 'asunder')	2
('up', 'a')	2
('at', 'all')	2
('thereto', 'the')	2
('no', 'need')	2
('the', 'upper')	2
('value', 'and')	2
('the', 'entire')	2
('also', 'in')	2
('revolutionising', 'the')	2
('up', 'by')	2
('the', 'ideas')	2
('we', 'see')	2
('the', 'then')	2
('the', 'weapons')	2
('communism', 'is')	2
('in', 'public')	2
('the', 'classes')	2
('agriculture', 'and')	2
('side', 'by')	2
('longer', 'sufficed')	2
('supply', 'of')	2
('various', 'stages')	2
('combination', 'of')	2
('into', 'various')	2
('nay', 'more')	2
('the', 'powers')	2
('the', 'eighteenth')	2
('no', 'wonder')	2
('town', 'and')	2
('and', 'freedom')	2
('communist', 'society')	2
('conquest', 'of')	2
('handed', 'down')	2
('pettybourgeois', 'socialism')	2
('every', 'class')	2
('it', 'the')	2
('however', 'this')	2
('they', 'had')	2
('one', 'class')	2
('industries', 'whose')	2
('antagonisms', 'they')	2
('individuality', 'and')	2
('capital', 'the')	2
('war', 'of')	2
('liberty', 'and')	2
('the', 'advance')	2
('order', 'of')	2
('political', 'movement')	2
('moment', 'when')	2
('nation', 'to')	2
('got', 'the')	2
('country', 'we')	2
('classes', 'in')	2
('distinction', 'between')	2
('labour', 'increases')	2
('communist', 'publications')	2
('portion', 'of')	2
('state', 'they')	2
('working', 'men')	2
('conditions', 'under')	2
('in', 'power')	2
('of', 'any')	2
('into', 'one')	2
('freedom', 'is')	2
('its', 'existence')	2
('without', 'the')	2
('on', 'by')	2
('a', 'commodity')	2
('an', 'epidemic')	2
('a', 'bourgeois')	2
('partly', 'because')	2
('produced', 'and')	2
('about', 'the')	2
('reactionary', 'character')	2
('proletarian', 'revolution')	2
('their', 'criticism')	2
('this', 'stage')	2
('that', 'in')	2
('with', 'every')	2
('sought', 'to')	2
('its', 'conditions')	2
('these', 'proposals')	2
('partly', 'of')	2
('bring', 'to')	2
('the', 'national')	2
('the', 'right')	2
('old', 'property')	2
('is', 'carried')	2
('distinctive', 'feature')	2
('will', 'vanish')	2
('the', 'lowest')	2
('reproach', 'us')	2
('complement', 'in')	2
('that', 'no')	2
('the', 'towns')	2
('functions', 'of')	2
('spectre', 'of')	2
('society', 'can')	2
('to', 'commerce')	2
('free', 'competition')	2
('feudal', 'aristocracy')	2
('except', 'by')	2
('proportion', 'the')	2
('sink', 'into')	2
('relations', 'and')	2
('is', 'still')	2
('what', 'the')	2
('and', 'communism')	2
('the', 'community')	2
('fetters', 'they')	2
('bare', 'existence')	2
('relations', 'with')	2
('place', 'the')	2
('only', 'so')	2
('or', 'in')	2
('even', 'pace')	2
('itself', 'up')	2
('suffering', 'class')	2
('no', 'means')	2
('ruin', 'of')	2
('has', 'created')	2
('criticalutopian', 'socialism')	2
('where', 'is')	2
('done', 'away')	2
('and', 'since')	2
('revolutionary', 'proletariat')	2
('drawn', 'from')	2
('production', 'of')	2
('competition', 'between')	2
('order', 'that')	2
('their', 'labour')	2
('production', 'by')	2
('the', 'category')	2
('its', 'complement')	2
('the', 'front')	2
('political', 'constitution')	2
('face', 'with')	2
('thus', 'to')	2
('here', 'and')	2
('their', 'ends')	2
('of', 'competition')	2
('of', 'human')	2
('are', 'now')	2
('find', 'work')	2
('be', 'of')	2
('man', 'to')	2
('maintenance', 'and')	2
('fight', 'against')	2
('antagonism', 'between')	2
('on', 'an')	2
('complete', 'systems')	2
('relations', 'in')	2
('discovery', 'of')	2
('the', 'free')	2
('to', 'industry')	2
('their', 'enemies')	2
('away', 'all')	2
('interests', 'and')	2
('from', 'all')	2
('into', 'capital')	2
('existence', 'is')	2
('that', 'under')	2
('and', 'are')	2
('torn', 'asunder')	2
('petty', 'bourgeoisie')	2
('class', 'struggles')	2
('centralisation', 'of')	2
('and', 'man')	2
('character', 'it')	2
('intellectual', 'production')	2
('recognition', 'of')	2
('and', 'sex')	2
('is', 'based')	2
('how', 'the')	2
('formation', 'of')	2
('capital', 'on')	2
('advantage', 'of')	2
('to', 'face')	2
('are', 'but')	2
('the', 'lower')	2
('the', 'concentration')	2
('raw', 'material')	2
('parties', 'of')	2
('their', 'eyes')	2
('struggle', 'and')	2
('proletariat', 'will')	2
('but', 'only')	2
('seek', 'to')	2
('classes', 'but')	2
('few', 'hands')	2
('its', 'rule')	2
('being', 'the')	2
('set', 'up')	2
('literature', 'the')	2
('movements', 'of')	2
('but', 'you')	2
('the', 'total')	2
('fact', 'that')	2
('into', 'germany')	2
('not', 'a')	2
('rupture', 'with')	2
('to', 'win')	2
('capital', 'from')	2
('social', 'power')	2
('markets', 'the')	2
('view', 'of')	2
('in', 'reality')	2
('that', 'by')	2
('urged', 'against')	2
('period', 'of')	2
('all', 'previous')	2
('proletariat', 'are')	2
('thereby', 'to')	2
('in', 'motion')	2
('only', 'the')	2
('nothing', 'to')	2
('time', 'when')	2
('the', 'manufacturing')	2
('are', 'the')	2
('navigation', 'to')	2
('in', 'countries')	2
('this', 'school')	2
('many', 'bourgeois')	2
('by', 'degrees')	2
('from', 'an')	2
('the', 'different')	2
('dominates', 'the')	2
('society', 'hence')	2
('property', 'into')	2
('a', 'revolution')	2
('power', 'to')	2
('express', 'the')	2
('could', 'be')	2
('your', 'class')	2
('extension', 'of')	2
('onesidedness', 'and')	2
('live', 'only')	2
('above', 'all')	2
('existence', 'and')	2
('america', 'the')	2
('that', 'have')	2
('a', 'state')	2
('is', 'unfit')	2
('best', 'possible')	2
('movement', 'in')	2
('modern', 'working')	2
('a', 'portion')	2
('to', 'it')	2
('this', 'is')	2
('the', 'power')	2
('proletarians', 'the')	2
('finds', 'itself')	2
('to', 'his')	2
('french', 'literature')	2
('the', 'world')	2
('classes', 'of')	2
('can', 'be')	2
('he', 'has')	2
('and', 'from')	2
('by', 'its')	2
('all', 'class')	2
('bourgeoisie', 'it')	2
('back', 'the')	2
('corporate', 'guilds')	2
('you', 'reproach')	2
('strata', 'of')	2
('with', 'feudal')	2
('the', 'mediaeval')	2
('a', 'political')	2
('of', 'agriculture')	2
('common', 'property')	2
('of', 'view')	2
('take', 'up')	2
('the', 'few')	2
('to', 'preserve')	2
('of', 'whole')	2
('of', 'minorities')	2
('the', 'nobility')	2
('existence', 'for')	2
('cost', 'of')	2
('was', 'in')	2
('of', 'political')	2
('therefore', 'are')	2
('character', 'and')	2
('from', 'that')	2
('and', 'for')	2
('property', 'for')	2
('bourgeois', 'epoch')	2
('and', 'instruments')	2
('ie', 'of')	2
('one', 'another')	2
('nothing', 'is')	2
('with', 'traditional')	2
('to', 'a')	2
('bourgeois', 'revolution')	2
('in', 'each')	2
('does', 'not')	2
('of', 'labourers')	2
('industrial', 'armies')	2
('over', 'to')	2
('he', 'becomes')	2
('the', 'economical')	2
('lost', 'all')	2
('political', 'power')	2
('bourgeois', 'state')	2
('another', 'will')	2
('from', 'a')	2
('feudal', 'absolutism')	2
('countries', 'the')	2
('them', 'to')	2
('the', 'emancipation')	2
('on', 'their')	2
('union', 'of')	2
('man', 'of')	2
('and', 'bourgeoisie')	2
('whole', 'bourgeoisie')	2
('converted', 'the')	2
('have', 'nothing')	2
('and', 'only')	2
('in', 'this')	2
('of', 'productive')	2
('france', 'in')	2
('and', 'especially')	2
('what', 'you')	2
('result', 'from')	2
('the', 'globe')	2
('of', 'nations')	2
('been', 'the')	2
('two', 'classes')	2
('at', 'an')	2
('the', 'fact')	2
('longer', 'any')	2
('and', 'on')	2
('struggle', 'between')	2
('our', 'bourgeois')	2
('feature', 'of')	2
('the', 'distinction')	2
('french', 'ideas')	2
('admit', 'in')	2
('and', 'proletariat')	2
('price', 'of')	2
('they', 'desire')	2
('different', 'countries')	2
('existence', 'as')	2
('movement', 'the')	2
('present', 'form')	2
('bourgeois', 'form')	2
('to', 'him')	2
('a', 'national')	2
('trade', 'in')	2
('bourgeois', 'private')	2
('and', 'there')	2
('the', 'cost')	2
('by', 'another')	2
('that', 'country')	2
('every', 'country')	2
('all', 'members')	2
('to', 'fortify')	2
('free', 'trade')	2
('of', 'manufacture')	2
('status', 'of')	2
('old', 'conditions')	2
('down', 'from')	2
('fortify', 'their')	2
('to', 'pass')	2
('it', 'will')	2
('labour', 'the')	2
('to', 'navigation')	2
('conscious', 'of')	2
('labourers', 'who')	2
('a', 'proletariat')	2
('its', 'political')	2
('us', 'with')	2
('portions', 'of')	2
('eighteenth', 'century')	2
('which', 'cannot')	2
('a', 'form')	2
('they', 'bring')	2
('during', 'its')	2
('they', 'support')	2
('category', 'of')	2
('between', 'classes')	2
('small', 'peasant')	2
('existence', 'the')	2
('labour', 'but')	2
('then', 'the')	2
('existing', 'social')	2
('german', 'philosophers')	2
('but', 'also')	2
('in', 'opposition')	2
('between', 'proletariat')	2
('buying', 'disappears')	2
('contact', 'with')	2
('property', 'all')	2
('longer', 'compatible')	2
('from', 'these')	2
('socialism', 'a')	2
('society', 'to')	2
('the', 'discovery')	2
('so', 'much')	2
('all', 'a')	2
('england', 'and')	2
('in', 'contact')	2
('of', 'others')	2
('of', 'religious')	2
('class', 'by')	2
('right', 'of')	2
('its', 'contest')	2
('converted', 'into')	2
('the', 'will')	2
('bourgeois', 'regime')	2
('views', 'and')	2
('fruit', 'of')	2
('age', 'and')	2
('his', 'wife')	2
('in', 'production')	2
('these', 'two')	2
('also', 'of')	2
('accumulated', 'labour')	2
('speak', 'of')	2
('acts', 'in')	2
('standard', 'of')	2
('even', 'a')	2
('opposition', 'that')	2
('constitution', 'adapted')	2
('earlier', 'epochs')	2
('accompanied', 'by')	2
('where', 'the')	2
('have', 'already')	2
('way', 'for')	2
